Price,Strike,IV
88.95,130.0,1.0769
84.14,135.0,1.0289
79.34,140.0,0.9826
74.55,145.0,0.9381999999999999
69.8,150.0,0.8956999999999999
65.09,155.0,0.8554
60.41,160.0,0.8172
55.8,165.0,0.7812
51.25,170.0,0.7476
46.79,175.0,0.7162000000000001
42.43,180.0,0.6872
38.19,185.0,0.6604000000000001
34.11,190.0,0.636
30.2,195.0,0.6138
26.49,200.0,0.5939
23.02,205.0,0.5761999999999999
19.81,210.0,0.5607
16.88,215.0,0.5475
14.26,220.0,0.5365
11.94,225.0,0.5277000000000001
9.94,230.0,0.5211
8.24,235.0,0.5169
6.82,240.0,0.515
5.65,245.0,0.5155
4.72,250.0,0.5183
3.97,255.0,0.5233
3.37,260.0,0.5302
2.89,265.0,0.5385
2.51,270.0,0.5477000000000001
2.18,275.0,0.5573
1.92,280.0,0.5670000000000001
1.69,285.0,0.5768
1.49,290.0,0.5866
